name,type,city,district,address_clean,latitude,longitude,hours,geocode_status
მეამა ქოლექთი • ქუთაისი მოლი,Collect,Kutaisi,Kutaisi,"ქუთაისი, ჟ.შარტავას 2",42.2596791,42.6633738,ღიაა 21:00 სთ_მდე,city_only
მეამა ქოლექთი • KIU,Collect,Kutaisi,Kutaisi,მეამა ქოლექთი • ქუთაისი მოლი,42.2596791,42.6633738,ღიაა 18:00 სთ_მდე,city_only
მეამა ქოლექთი • ფოთი,Collect,Poti,Poti,დავით აღმაშენებლის №9-ში,42.141614,41.6748028,ღიაა 23:00 სთ-მდე,city_only
მეამა ქოლექთი • ლილო,Collect,Tbilisi,Mtatsminda/Krtsanisi,კახეთის გზატკეცილი N 271ბ,41.6934591,44.8014495,ღიაა 21:00 სთ-მდე,city_only
მეამა ქოლექთი • ვაზისუბანი,Collect,Tbilisi,Mtatsminda/Krtsanisi,"ვაზისუბანი I მიკრო, II კორპუსის მიმდებარედ",41.6934591,44.8014495,ღიაა 00:00 სთ-მდე,city_only
მეამა ქოლექთი • ჭოველიძე,Collect,Tbilisi,Chughureti/Central,თამარ ჭოველიძის 11,41.7054483,44.7866534,ღიაა 21:00 სთ-მდე,success
მეამა ქოლექთი • მცხეთა,Collect,Mtskheta,Mtskheta,"მცხეთა, მირიან მეფის ქუჩა",41.846295,44.7195591,ღიაა 19:00 სთ-მდე,city_only
PSP Insurance,Dropper,Tbilisi,Mtatsminda/Krtsanisi,აღმაშენებელის 148/3,41.6668686,44.7516706,,success
onairentertainment,Dropper,Tbilisi,Saburtalo,გურამიშვილის გამზირი 158,41.7818083,44.7962883,,success
TBC-CHavchavadze,Dropper,Tbilisi,Saburtalo,თორნიკე ერისთავის 8,41.7481074,44.7802791,,success
Credo Bank 2,Dropper,Tbilisi,Chughureti/Central,თაბუკაშვილის 27,41.7018489,44.7969008,,success
BOG (I. Gagarini Str.),Dropper,Tbilisi,Saburtalo,გაგარინის 29ა,41.7357541,44.7703922,,success
Credo Bank (Tabukashvili St),Dropper,Tbilisi,Chughureti/Central,თაბუკაშვილის 27,41.7018489,44.7969008,,success
GIPA,Dropper,Tbilisi,Chughureti/Central,ბროსეს 2,41.7025434,44.797673,,success
TBC Bank (Politkovskaya str.),Dropper,Tbilisi,Didube,პოლიტკოვსკაიას 14,41.7200333,44.7111134,,success
REDISONI,Dropper,Tbilisi,Chughureti/Central,რესპუბლიკის მოედანი 1,41.7039218,44.7935691,,success
Brand Shop City Mall,Dropper,Tbilisi,Didube,ქავთარაძის 1,41.7213308,44.7225831,,success
Opera,Dropper,Rustavi,Rustavi,რუსთაველის 25,41.5514747,45.0163705,,success
Reiman-1,Dropper,Tbilisi,Didube,სანდრო ეულის 7,41.7236913,44.7173223,,success
Supreme Court of Georgia,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ზუბალაშვილების 32,41.6993474,44.7944031,,success
Municipal Fund of Georgia,Dropper,Tbilisi,Chughureti/Central,აღმაშენებლის 150,41.7172755,44.791353,,success
OPPA ( Kazbegi Ave),Dropper,Tbilisi,Didube,ყაზბეგის 15,41.7263364,44.7632127,,success
GEORGIAN PARLIAMENT,Dropper,Rustavi,Rustavi,რუსთაველის 8,41.545073,45.0116867,,success
Inova,Dropper,Tbilisi,Didube,სანდრო ეულის 7,41.7236913,44.7173223,,success
tbc abashidze,Dropper,Tbilisi,Didube,აბაშიძის 21 ა,41.7077381,44.7674979,,success
Social Agency,Dropper,Tbilisi,Chughureti/Central,ჯავახიშვილის 51,41.7092609,44.8021443,,success
Aversi Pharma (kazbegi),Dropper,Tbilisi,Didube,ყაზბეგის 16,41.7249138,44.762618,,success
Safety Academia,Dropper,Tbilisi,Didube,პოლიტკოვსკაიას 14,41.7200333,44.7111134,,success
SILK ROAD BANK,Dropper,Tbilisi,Chughureti/Central,ზაარბრიუკენის მოედანი 2,41.7024181,44.804827,,success
TBC insurance,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ალ. ყაზბეგის 28 ა,41.6934591,44.8014495,,city_only
TBC Bank 3 (Ateni St.),Dropper,Tbilisi,Didube,ატენის 2,41.7100012,44.7722788,,success
tegeta toiota,Dropper,Tbilisi,Didube,უნივერსიტეტის ქუჩა 6,41.7178607,44.7365471,,success
bog-11,Dropper,Tbilisi,Gldani/Nadzaladevi,გაზაფხულის ქუჩა,41.7780119,44.8608664,,success
TBILISI-ENERGY,Dropper,Tbilisi,Didube,მიცკევიჩის 18ა,41.7242165,44.7670644,,success
tbc agmashenebeli 2,Dropper,Tbilisi,Mtatsminda/Krtsanisi,აღმაშენებლის გამზ 61,41.6934591,44.8014495,,city_only
Tbc marjanishvili,Dropper,Tbilisi,Chughureti/Central,მარჯანიშვილის 16,41.7093693,44.7959468,,success
Unison,Dropper,Tbilisi,Didube,გამრეკელის 19,41.725642,44.7684125,,success
Tbc leasing (maserati),Dropper,Tbilisi,Mtatsminda/Krtsanisi,დ. აღმაშენებელის ხეივანი 0131,41.6934591,44.8014495,,city_only
btu,Dropper,Tbilisi,Didube,ჭავჭავაძის 82,41.7067316,44.7382045,,success
Aversi-Rational,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ჭირნახულის ქუჩა 14,41.6934591,44.8014495,,city_only
United Global Technology,Dropper,Tbilisi,Didube,ჭავჭავაძის 17ა,41.709993,44.7711988,,success
MTA,Dropper,Tbilisi,Didube,კოსტავას 70,41.7204329,44.777382,,success
York,Dropper,Tbilisi,Chughureti/Central,ალექსიძის 12,41.7171586,44.7853415,,success
Jerarsi Clinic,Dropper,Tbilisi,Gldani/Nadzaladevi,მუხიანის 2ა,41.780495,44.8474726,,success
jordanias klinika,Dropper,Tbilisi,Didube,ერმილე ბედიას 33,41.7262752,44.7189019,,success
Geo-Railway,Dropper,Tbilisi,Chughureti/Central,თამარ მეფის 15,41.719094,44.7942399,,success
Imedi TV (Lubliana St),Dropper,Tbilisi,Mtatsminda/Krtsanisi,ლუბლიანას 5 (7 პავილიონი),41.6934591,44.8014495,,city_only
GD-M,Dropper,Tbilisi,Chughureti/Central,მდივანის 3ა,41.7073777,45.0132536,,success
Georgian-Dutch Hospital,Dropper,Tbilisi,Gldani/Nadzaladevi,გობრონიძის 27,41.7825644,44.8262392,,success
Terabank,Dropper,Tbilisi,Mtatsminda/Krtsanisi,წამებულის 3,41.691485,44.815209,,success
SAMSHENEBLO KOMPANIA-JEARSI,Dropper,Tbilisi,Saburtalo,ფეიქრების 14ბ,41.7770501,44.7910578,,success
New Vision University Hospital,Dropper,Tbilisi,Saburtalo,ბოხუას 9,41.7803214,44.7695008,,success
Meama East Point,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ისთ ფოინთის სივრცე,41.6934591,44.8014495,,city_only
Georgian National Bank,Dropper,Tbilisi,Mtatsminda/Krtsanisi,გივი ამილახვრის 2,41.6934591,44.8014495,,city_only
National Bank of Georgia (gulua),Dropper,Tbilisi,Saburtalo,ვაზიანი,41.7566737,44.7862642,,success
TBC-Railway station,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ცენტრალური რკინიგზის სადგური,41.6934591,44.8014495,,city_only
TBC mini gldani,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ალექსანდრე გობრონიძის 1/6,41.6934591,44.8014495,,city_only
Basisbank,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ქეთევან დედოფლის 1,41.691655,44.8147772,,success
Prosecutor General ( 1 sartuli),Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 24,41.6767296,44.8273894,,success
Imedi TV 2,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ლიბლიანის 2 (4 პავილიონი),41.6934591,44.8014495,,city_only
Vake Plaza,Dropper,Tbilisi,Didube,ილია ჭავჭავაძის 72ა,41.7110926,44.7550613,,success
my.gov.ge,Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 22,41.6778639,44.8265845,,success
Brand Shop Tbilisi Mall,Dropper,Tbilisi,Mtatsminda/Krtsanisi,აღმაშენებლის ხეივანი მე-16 კმ.,41.6934591,44.8014495,,city_only
Agricultural University of Georgia,Dropper,Tbilisi,Saburtalo,აღმაშენებლის ხეივანი 240,41.7836546,44.7689875,,success
lokomotivi ragby,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ბელიაშვილის პირველი ჩიხი ბაბილოს გვერდით,41.6934591,44.8014495,,city_only
BOG 1 (I. Gagarini Str.),Dropper,Tbilisi,Saburtalo,გაგარინის 29ა,41.7357541,44.7703922,,success
TBC-Gamrekeli,Dropper,Tbilisi,Didube,გამრეკელის 2,41.7213444,44.7700588,,success
MINISTRY OF JUSTICE,Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 24ა,41.67727,44.8267922,,success
Betlive wereteli,Dropper,Tbilisi,Saburtalo,წერეთლის 141ა,41.7473725,44.7780768,,success
TBC-Wereteli,Dropper,Tbilisi,Saburtalo,წერეთლის 73ა,41.7360863,44.782848,,success
tbc leasing 3,Dropper,Tbilisi,Didube,ჭავჭავაძის 76,41.7112119,44.7525907,,success
epizodi mini,Dropper,Tbilisi,Saburtalo,პეკინის 41,41.730688,44.7679481,,success
betlive mini 1,Dropper,Tbilisi,Isani/Samgori,წერეთლის ქუჩა 123,41.7331425,44.9629496,,success
