name,name_raw,address_raw,address_clean,address_for_geocoding,type,city,hours
Inova,"Inova ""dispenser""",ქ.თბილისი სანდრო ეულის 7,სანდრო ეულის 7,"სანდრო ეულის 7, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tbc abashidze,tbc abashidze,აბაშიძის 21 ა,აბაშიძის 21 ა,"აბაშიძის 21 ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Social Agency,"Social Agency ""dispenser""",ქ.თბილისი ჯავახიშვილის 51,ჯავახიშვილის 51,"ჯავახიშვილის 51, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Aversi Pharma (kazbegi),"Aversi Pharma (kazbegi) ""dispenser""",ქ.თბილისი ყაზბეგის 16,ყაზბეგის 16,"ყაზბეგის 16, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Safety Academia,"Safety Academia ""dispenser""",ქ.თბილისი პოლიტკოვსკაიას 14,პოლიტკოვსკაიას 14,"პოლიტკოვსკაიას 14, Tbilisi, Georgia",Dropper,Tbilisi,N/A
SILK ROAD BANK,"SILK ROAD BANK ""dispenser""",ქ.თბილისი ზაარბრიუკენის მოედანი 2,ზაარბრიუკენის მოედანი 2,"ზაარბრიუკენის მოედანი 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC insurance,TBC insurance,"ქ. თბილისი, ალ. ყაზბეგის 28 ა",ალ. ყაზბეგის 28 ა,"ალ. ყაზბეგის 28 ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC Bank 3 (Ateni St.),"TBC Bank 3 (Ateni St.) ""dispenser""",ქ.თბილისი ატენის 2,ატენის 2,"ატენის 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tegeta toiota,tegeta toiota,ქ.თბილისი უნივერსიტეტის ქუჩა 6,უნივერსიტეტის ქუჩა 6,"უნივერსიტეტის ქუჩა 6, Tbilisi, Georgia",Dropper,Tbilisi,N/A
bog-11,bog-11,გაზაფხულის ქუჩა,გაზაფხულის ქუჩა,"გაზაფხულის ქუჩა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBILISI-ENERGY,"TBILISI-ENERGY ""dispenser""",ქ.თბილისი მიცკევიჩის 18ა,მიცკევიჩის 18ა,"მიცკევიჩის 18ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tbc agmashenebeli 2,tbc agmashenebeli 2,ქ.თბილისი აღმაშენებლის გამზ 61,აღმაშენებლის გამზ 61,"აღმაშენებლის გამზ 61, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Tbc marjanishvili,Tbc marjanishvili,ქ.თბილისი მარჯანიშვილის 16,მარჯანიშვილის 16,"მარჯანიშვილის 16, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Unison,"Unison ""dispenser""",ქ.თბილისი გამრეკელის 19,გამრეკელის 19,"გამრეკელის 19, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Tbc leasing (maserati),Tbc leasing (maserati),"ქ. თბილისი, დ. აღმაშენებელის ხეივანი 0131",დ. აღმაშენებელის ხეივანი 0131,"დ. აღმაშენებელის ხეივანი 0131, Tbilisi, Georgia",Dropper,Tbilisi,N/A
btu,btu,ჭავჭავაძის 82,ჭავჭავაძის 82,"ჭავჭავაძის 82, Tbilisi, Georgia",Dropper,Tbilisi,N/A
